City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
78,Mahebourg,MU,2022-07-29 05:28:19,-20.4081,57.7,74.25,60,20,10.36,few clouds,0.0,0.0
79,Pochutla,MX,2022-07-29 05:29:59,15.7432,-96.4661,79.83,92,71,4.05,broken clouds,0.0,0.0
80,Belance,PH,2022-07-29 05:29:59,16.1833,121.25,78.49,84,100,2.64,overcast clouds,0.0,0.0
81,Bambous Virieux,MU,2022-07-29 05:29:59,-20.3428,57.7575,75.22,60,20,10.36,few clouds,0.0,0.0
82,Portland,US,2022-07-29 05:27:45,45.5234,-122.6762,84.99,65,0,5.75,clear sky,0.0,0.0
83,Kruisfontein,ZA,2022-07-29 05:30:00,-34.0033,24.7314,54.16,63,0,9.51,clear sky,0.0,0.0
84,Port Elizabeth,ZA,2022-07-29 05:30:00,-33.918,25.5701,61.09,86,0,25.32,clear sky,0.0,0.0
85,Kang,BW,2022-07-29 05:30:00,-23.6752,22.7876,52.45,44,63,9.64,broken clouds,0.0,0.0
86,Marabba,SD,2022-07-29 05:30:01,12.35,32.1833,78.85,72,91,11.36,overcast clouds,0.0,0.0
87,Ballesteros,PH,2022-07-29 05:30:01,18.4126,121.5152,86.99,71,100,14.09,overcast clouds,0.0,0.0
88,Honiara,SB,2022-07-29 05:30:01,-9.4333,159.95,83.25,72,93,3.89,overcast clouds,0.0,0.0
89,Lompoc,US,2022-07-29 05:22:07,34.6391,-120.4579,61.02,89,100,7.0,mist,0.0,0.0
90,Kidal,ML,2022-07-29 05:30:02,18.4411,1.4078,79.12,59,100,7.52,overcast clouds,0.0,0.0
91,Hasaki,JP,2022-07-29 05:30:02,35.7333,140.8333,93.6,78,2,18.16,clear sky,0.0,0.0
92,Tecoanapa,MX,2022-07-29 05:31:02,16.5167,-98.75,77.14,87,23,3.65,few clouds,0.0,0.0
93,Hambantota,LK,2022-07-29 05:31:03,6.1241,81.1185,84.54,84,75,0.0,moderate rain,0.0,0.0
94,Sovetskiy,RU,2022-07-29 05:31:03,61.3614,63.5842,76.71,31,7,3.8,clear sky,0.0,0.0
95,Nikolskoye,RU,2022-07-29 05:31:03,59.7035,30.7861,65.88,69,28,5.59,scattered clouds,0.0,0.0
96,Bluff,NZ,2022-07-29 05:31:04,-46.6,168.3333,47.8,68,81,17.52,light rain,0.0,0.0
97,Kathu,TH,2022-07-29 05:31:04,7.9178,98.3332,87.62,69,53,4.92,broken clouds,0.0,0.0
98,Puerto Ayora,EC,2022-07-29 05:31:05,-0.7393,-90.3518,68.56,98,70,7.0,broken clouds,0.0,0.0
99,Chuy,UY,2022-07-29 05:31:05,-33.6971,-53.4616,49.8,89,100,18.1,overcast clouds,0.0,0.0
100,Katsuura,JP,2022-07-29 05:31:05,35.1333,140.3,84.2,78,14,14.41,few clouds,0.0,0.0
101,Henties Bay,NA,2022-07-29 05:31:06,-22.116,14.2845,52.83,90,15,8.57,few clouds,0.0,0.0
102,Jamestown,US,2022-07-29 05:27:22,42.097,-79.2353,69.39,71,0,8.01,clear sky,0.0,0.0
103,Pedregulho,BR,2022-07-29 05:31:06,-20.2569,-47.4767,56.57,53,14,2.39,few clouds,0.0,0.0
104,Iqaluit,CA,2022-07-29 05:30:14,63.7506,-68.5145,49.73,76,75,3.44,broken clouds,0.0,0.0
105,Constitucion,CL,2022-07-29 05:18:01,-35.3333,-72.4167,46.78,82,0,7.36,clear sky,0.0,0.0
106,Faya,SA,2022-07-29 05:31:07,18.3851,42.4509,75.31,38,28,3.2,scattered clouds,0.0,0.0
107,Ponta Do Sol,PT,2022-07-29 05:31:07,32.6667,-17.1,74.01,81,13,4.25,few clouds,0.0,0.0
108,Lorengau,PG,2022-07-29 05:31:07,-2.0226,147.2712,82.72,78,26,13.24,scattered clouds,0.0,0.0
109,Ribeira Grande,PT,2022-07-29 05:31:08,38.5167,-28.7,72.5,79,11,3.4,few clouds,0.0,0.0
110,Okhotsk,RU,2022-07-29 05:31:08,59.3833,143.3,66.43,77,32,9.62,scattered clouds,0.0,0.0
111,Fortuna,US,2022-07-29 05:29:19,40.5982,-124.1573,59.94,91,100,5.75,overcast clouds,0.0,0.0
112,Deputatskiy,RU,2022-07-29 05:31:08,69.3,139.9,49.28,76,100,4.07,overcast clouds,0.0,0.0
113,Butaritari,KI,2022-07-29 05:31:09,3.0707,172.7902,82.0,74,46,12.55,scattered clouds,0.0,0.0
114,Hobyo,SO,2022-07-29 05:31:09,5.3505,48.5268,80.31,70,78,21.05,broken clouds,0.0,0.0
115,Broken Hill,AU,2022-07-29 05:31:09,-31.95,141.4333,57.7,35,99,5.61,overcast clouds,0.0,0.0
116,Aklavik,CA,2022-07-29 05:31:10,68.2191,-135.0107,39.15,94,100,14.38,overcast clouds,0.0,0.0
117,Petropavlovsk-Kamchatskiy,RU,2022-07-29 05:31:10,53.0452,158.6483,72.19,43,75,11.18,light rain,0.0,0.0
118,Olafsvik,IS,2022-07-29 05:26:21,64.8945,-23.7142,45.45,83,65,11.79,broken clouds,0.0,0.0
119,Aswan,EG,2022-07-29 05:31:10,24.0934,32.907,83.5,20,0,4.61,clear sky,0.0,0.0
120,Gazanjyk,TM,2022-07-29 05:31:11,39.2446,55.5154,88.48,52,1,14.79,clear sky,0.0,0.0
121,Chipinge,ZW,2022-07-29 05:31:11,-20.1883,32.6236,55.04,60,0,2.68,clear sky,0.0,0.0
122,Ostrovnoy,RU,2022-07-29 05:31:11,68.0531,39.5131,50.4,84,100,13.6,overcast clouds,0.0,0.0
123,College,US,2022-07-29 05:31:12,64.8569,-147.8028,66.07,57,20,9.22,few clouds,0.0,0.0
124,Cape Town,ZA,2022-07-29 05:26:20,-33.9258,18.4232,57.88,84,75,19.57,moderate rain,0.0,0.0
125,Saint-Joseph,RE,2022-07-29 05:31:12,-21.3667,55.6167,73.2,74,17,9.6,few clouds,0.0,0.0
126,New Norfolk,AU,2022-07-29 05:31:12,-42.7826,147.0587,48.92,74,83,3.0,broken clouds,0.0,0.0
127,Faanui,PF,2022-07-29 05:31:13,-16.4833,-151.75,79.2,74,4,22.62,light rain,0.0,0.0
128,Sambava,MG,2022-07-29 05:31:13,-14.2667,50.1667,73.94,70,58,11.63,broken clouds,0.0,0.0
129,Bilibino,RU,2022-07-29 05:31:13,68.0546,166.4372,54.3,53,91,4.63,overcast clouds,0.0,0.0
130,Ilulissat,GL,2022-07-29 05:31:14,69.2167,-51.1,46.42,61,93,3.44,overcast clouds,0.0,0.0
131,Abalak,RU,2022-07-29 05:31:14,58.1286,68.5944,71.22,48,10,11.05,clear sky,0.0,0.0
132,San Felipe,VE,2022-07-29 05:31:14,10.3399,-68.7425,70.97,98,90,0.63,overcast clouds,0.0,0.0
133,Harper,LR,2022-07-29 05:31:15,4.375,-7.7169,74.07,75,91,6.46,overcast clouds,0.0,0.0
134,Poros,GR,2022-07-29 05:31:15,37.4994,23.4536,81.25,55,0,20.71,clear sky,0.0,0.0
135,Indianola,US,2022-07-29 05:31:15,41.3581,-93.5574,66.0,77,42,3.85,scattered clouds,0.0,0.0
136,Heihe,CN,2022-07-29 05:32:16,50.2441,127.4902,75.78,97,100,6.49,light rain,0.0,0.0
137,Pierre,US,2022-07-29 05:32:16,44.3683,-100.351,65.86,67,0,5.75,clear sky,0.0,0.0
138,Provideniya,RU,2022-07-29 05:32:16,64.3833,-173.3,48.36,93,40,7.0,fog,0.0,0.0
139,Hay River,CA,2022-07-29 05:32:17,60.8156,-115.7999,62.58,88,75,2.3,broken clouds,0.0,0.0
140,Port-Gentil,GA,2022-07-29 05:32:17,-0.7193,8.7815,71.56,94,20,4.61,few clouds,0.0,0.0
141,Lebu,CL,2022-07-29 05:32:17,-37.6167,-73.65,47.44,87,4,19.57,clear sky,0.0,0.0
142,Itarema,BR,2022-07-29 05:32:17,-2.9248,-39.9167,75.74,89,92,11.01,overcast clouds,0.0,0.0
143,Kholmogory,RU,2022-07-29 05:32:18,64.2229,41.656,65.37,97,98,6.58,overcast clouds,0.0,0.0
144,Thompson,CA,2022-07-29 05:31:04,55.7435,-97.8558,55.56,76,40,0.0,scattered clouds,0.0,0.0
145,Zachary,US,2022-07-29 05:30:05,30.6485,-91.1565,78.73,96,0,0.0,clear sky,0.0,0.0
146,Dingle,PH,2022-07-29 05:32:18,10.9995,122.6711,84.63,77,100,13.53,overcast clouds,0.0,0.0
147,Athabasca,CA,2022-07-29 05:31:03,54.7169,-113.2854,70.21,92,25,8.23,scattered clouds,0.0,0.0
148,Kedainiai,LT,2022-07-29 05:32:19,55.2883,23.9747,59.14,83,0,4.9,clear sky,0.0,0.0
149,Telimele,GN,2022-07-29 05:32:19,10.9167,-13.3333,69.75,97,93,4.23,overcast clouds,0.0,0.0
150,Wanaka,NZ,2022-07-29 05:32:19,-44.7,169.15,39.09,94,88,4.09,overcast clouds,0.0,0.0
151,Samarai,PG,2022-07-29 05:32:20,-10.6167,150.6667,78.91,86,67,15.5,broken clouds,0.0,0.0
152,Tasiilaq,GL,2022-07-29 05:32:20,65.6145,-37.6368,41.16,93,100,2.98,overcast clouds,0.0,0.0
153,Hualmay,PE,2022-07-29 05:32:20,-11.0964,-77.6139,59.97,82,50,3.53,scattered clouds,0.0,0.0
154,Bowen,AU,2022-07-29 05:32:21,-20.0167,148.2333,68.83,59,68,14.97,broken clouds,0.0,0.0
155,Yerofey Pavlovich,RU,2022-07-29 05:32:21,53.9667,121.9667,77.88,36,0,8.34,clear sky,0.0,0.0
156,Harnosand,SE,2022-07-29 05:32:21,62.6323,17.9379,55.0,55,8,7.58,clear sky,0.0,0.0
157,Denpasar,ID,2022-07-29 05:30:17,-8.65,115.2167,82.06,78,20,21.85,few clouds,0.0,0.0
158,Arraial Do Cabo,BR,2022-07-29 05:32:22,-22.9661,-42.0278,70.0,84,23,17.27,few clouds,0.0,0.0
159,Lagoa,PT,2022-07-29 05:32:22,39.05,-27.9833,70.9,80,0,0.78,clear sky,0.0,0.0
160,Verkhnechusovskiye Gorodki,RU,2022-07-29 05:32:22,58.1671,57.1086,72.0,45,0,5.01,clear sky,0.0,0.0
161,Geraldton,AU,2022-07-29 05:32:23,-28.7667,114.6,64.81,88,75,6.91,heavy intensity shower rain,0.0,0.0
162,Shimoda,JP,2022-07-29 05:32:23,34.6667,138.95,88.16,74,2,10.33,clear sky,0.0,0.0
163,Rudbar,AF,2022-07-29 05:32:23,30.15,62.6,97.47,16,98,14.16,overcast clouds,0.0,0.0
164,Gamba,GA,2022-07-29 05:32:24,-2.65,10.0,68.29,91,39,1.7,scattered clouds,0.0,0.0
165,Narsaq,GL,2022-07-29 05:32:24,60.9167,-46.05,46.62,60,84,3.06,broken clouds,0.0,0.0
166,Kungur,RU,2022-07-29 05:32:24,57.4368,56.9593,69.66,57,25,6.87,scattered clouds,0.0,0.0
167,Yamandu,SL,2022-07-29 05:32:25,7.9362,-11.4928,69.31,95,90,1.61,overcast clouds,0.0,0.0
