City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
82,Portland,US,84.99,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
86,Marabba,SD,78.85,overcast clouds,12.35,32.1833,
87,Ballesteros,PH,86.99,overcast clouds,18.4126,121.5152,De Leon Hotel
88,Honiara,SB,83.25,overcast clouds,-9.4333,159.95,Heritage Park Hotel
90,Kidal,ML,79.12,overcast clouds,18.4411,1.4078,
92,Tecoanapa,MX,77.14,few clouds,16.5167,-98.75,Hotel Manglares
93,Hambantota,LK,84.54,moderate rain,6.1241,81.1185,Bungalow 63
94,Sovetskiy,RU,76.71,clear sky,61.3614,63.5842,Apartment on Kievskaya 29
97,Kathu,TH,87.62,broken clouds,7.9178,98.3332,Novotel Phuket Resort
100,Katsuura,JP,84.2,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
106,Faya,SA,75.31,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
108,Lorengau,PG,82.72,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
113,Butaritari,KI,82.0,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
114,Hobyo,SO,80.31,broken clouds,5.3505,48.5268,Iftin hotel hobyo
119,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
120,Gazanjyk,TM,88.48,clear sky,39.2446,55.5154,Railway motel
127,Faanui,PF,79.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Poros,GR,81.25,clear sky,37.4994,23.4536,New Aegli Resort Hotel
136,Heihe,CN,75.78,light rain,50.2441,127.4902,Hotel Strannik
142,Itarema,BR,75.74,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
145,Zachary,US,78.73,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
146,Dingle,PH,84.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
151,Samarai,PG,78.91,broken clouds,-10.6167,150.6667,Nuli Sapi
155,Yerofey Pavlovich,RU,77.88,clear sky,53.9667,121.9667,lounges and warm parking
157,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
162,Shimoda,JP,88.16,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
169,Zalantun,CN,77.97,overcast clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
176,Mogocha,RU,75.96,few clouds,53.7333,119.7667,Yalta Inn
177,Batagay-Alyta,RU,84.7,few clouds,67.8006,130.4114,
180,Arlit,NE,84.7,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
181,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
182,Agadez,NE,88.0,overcast clouds,19.75,10.25,
187,Tondano,ID,80.69,overcast clouds,1.3038,124.9112,Villa Bella
197,Ust-Charyshskaya Pristan,RU,84.4,broken clouds,52.3934,83.6635,
198,Bremerton,US,80.51,clear sky,47.5673,-122.6326,Hampton Inn & Suites Bremerton
199,Dzidzantun,MX,78.15,overcast clouds,21.25,-89.05,Hacienda San Francisco Tzacalha
202,Tenenkou,ML,76.01,overcast clouds,14.4572,-4.9169,
204,Asyut,EG,78.98,few clouds,27.180999999999997,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
205,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
215,Saint George,US,82.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
219,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Base Lodging
221,Kavieng,PG,83.62,broken clouds,-2.5744,150.7967,Nusa Island Retreat
223,Labuhan,ID,87.13,overcast clouds,-6.8844,112.2051,DoubleFAG
225,Taiyuan,CN,84.06,clear sky,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
227,Tahoua,NE,77.61,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
228,Sabang,ID,80.62,overcast clouds,5.8933,95.3214,Hotel Citra
229,Khorramabad,IR,87.42,clear sky,33.4878,48.3558,Azadi Hotel
231,Marsh Harbour,BS,81.99,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
235,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
237,Atambua,ID,81.21,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
238,Sao Filipe,CV,77.34,clear sky,14.8961,-24.4956,Hotel Xaguate
241,Meulaboh,ID,75.4,light rain,4.1363,96.1285,Kost Pria
243,Davila,PH,87.78,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
244,Dongsheng,CN,86.09,few clouds,39.8161,109.9776,Crowne Plaza Ordos
248,Kailua,US,82.38,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
249,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
256,Xuddur,SO,77.52,scattered clouds,4.1213,43.8894,Banjanay Hotel
258,Ust-Maya,RU,89.44,clear sky,60.4167,134.5333,
259,Dali,CN,76.98,broken clouds,25.7,100.1833,Dali Travelling With Hostel
261,Hithadhoo,MV,81.79,overcast clouds,-0.6,73.0833,Scoop Guest House
264,Shetpe,KZ,78.39,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
267,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
269,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
272,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
273,Udachnyy,RU,84.45,scattered clouds,66.4167,112.4,Severnoye Siyaniye
278,Abeche,TD,76.46,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
280,San Patricio,US,85.86,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
281,Dandong,CN,82.9,scattered clouds,40.1292,124.3947,Yiranju Farmstay
282,Moussoro,TD,81.79,broken clouds,13.6408,16.4901,Hôtel Salama
284,Mlonggo,ID,89.35,overcast clouds,-6.5333,110.7,Asia Metal Art
291,Kuching,MY,89.82,broken clouds,1.55,110.3333,Hilton Kuching
292,Marihatag,PH,85.68,light rain,8.7936,126.2969,Mariner's Place & Resort
295,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
297,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
298,Chake Chake,TZ,78.1,scattered clouds,-5.2459,39.7666,Hotel Archipelago
300,Conakry,GN,75.27,light rain,9.538,-13.6773,Riviera Royal Hotel
304,Andra,RU,77.2,clear sky,62.5147,65.8878,"Gostinitsa ""Ob'"""
305,Batticaloa,LK,79.27,overcast clouds,7.7102,81.6924,Grand Star Guest House
306,Kamenka,RU,76.66,overcast clouds,51.3223,42.7678,
307,Lalmohan,BD,88.84,scattered clouds,22.3384,90.7419,Arifur Rahman Miraj
318,Acarau,BR,75.65,overcast clouds,-2.8856,-40.12,castelo pizzaria
319,Bambanglipuro,ID,83.23,broken clouds,-7.95,110.2833,Puri Brata
321,Auki,SB,83.05,broken clouds,-8.7676,160.7034,Auki Motel
323,Thinadhoo,MV,81.3,overcast clouds,0.5333,72.9333,
324,Bani,DO,75.87,clear sky,18.2833,-70.3333,Hospedaje Henriquez
325,Along,IN,86.92,broken clouds,28.1667,94.7667,Hotel West
327,Darnah,LY,80.31,clear sky,32.766999999999996,22.6367,فندق الفردوس
329,Vung Tau,VN,85.42,overcast clouds,10.345999999999998,107.0843,Seaside Resort
330,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
332,Alyangula,AU,76.64,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
333,Changping,CN,87.44,few clouds,40.2186,116.2197,Huachang Hotel
334,Namatanai,PG,83.25,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
336,Naze,JP,79.72,moderate rain,28.3667,129.4833,Shishime Hotel
339,Vanimo,PG,83.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
